year,games,wins,losses,ties,win_pct,finish,games_back,playoffs,runs,runs_allowed,attendance,batter_age,pitcher_age,league_place
2005,162,71,91,0,0.438,4th of 5,11.0,,685,755,3603646.0,28.7,28.5,4th
2004,162,93,69,0,0.574,1st of 5,0.0,Lost NLDS,761,684,3488283.0,28.9,29.5,1st
2003,162,85,77,0,0.525,2nd of 5,15.5,,574,556,3138626.0,29.9,31.2,2nd
2002,162,92,70,0,0.568,3rd of 5,6.0,,713,643,3131255.0,30.0,31.0,3rd
2001,162,86,76,0,0.531,3rd of 5,6.0,,758,744,3017143.0,30.2,30.5,3rd
2000,162,86,76,0,0.531,2nd of 5,11.0,,798,729,2880242.0,29.6,29.5,2nd
1999,162,77,85,0,0.475,3rd of 5,23.0,,793,787,3095346.0,29.2,28.6,3rd
1998,162,83,79,0,0.512,3rd of 5,15.0,,669,678,3089222.0,28.3,27.6,3rd
1997,162,88,74,0,0.543,2nd of 4,2.0,,742,645,3319504.0,29.3,28.9,2nd
1996,162,90,72,0,0.556,2nd of 4,1.0,Lost NLDS,703,652,3188454.0,27.9,28.3,2nd
1995,144,78,66,0,0.542,1st of 4,0.0,Lost NLDS,634,609,2766251.0,27.4,27.8,1st
1994,114,58,56,0,0.509,1st of 4,0.0,,532,509,2279355.0,28.7,30.1,1st
1993,162,81,81,0,0.5,4th of 7,23.0,,675,662,3170393.0,28.9,29.3,4th
1992,162,63,99,0,0.389,6th of 6,35.0,,548,636,2473266.0,28.4,31.4,6th
1991,162,93,69,0,0.574,2nd of 6,1.0,,665,565,3348170.0,30.2,30.2,2nd
1990,162,86,76,0,0.531,2nd of 6,5.0,,728,685,3002396.0,29.7,28.2,2nd
1989,160,77,83,0,0.481,4th of 6,14.0,,554,536,2944653.0,29.8,28.5,4th
1988,162,94,67,1,0.584,1st of 6,0.0,Won WS,628,544,2980262.0,29.0,29.2,1st
1987,162,73,89,0,0.451,4th of 6,17.0,,635,675,2797409.0,28.2,27.9,4th
1986,162,73,89,0,0.451,5th of 6,23.0,,638,679,3023208.0,28.0,27.8,5th
1985,162,95,67,0,0.586,1st of 6,0.0,Lost NLCS,682,579,3264593.0,27.7,28.0,1st
1984,162,79,83,0,0.488,4th of 6,13.0,,580,600,3134824.0,26.8,27.5,4th
1983,163,91,71,1,0.562,1st of 6,0.0,Lost NLCS,654,609,3510313.0,28.1,27.1,1st
1982,162,88,74,0,0.543,2nd of 6,1.0,,691,612,3608881.0,29.2,26.8,2nd
1981,110,63,47,0,0.573,2nd of 6,4.0,Won WS,450,356,2381292.0,29.3,26.2,2nd
1980,163,92,71,0,0.564,2nd of 6,1.0,,663,591,3249287.0,30.4,28.2,2nd
1979,162,79,83,0,0.488,3rd of 6,11.5,,739,717,2860954.0,30.4,28.3,3rd
1978,162,95,67,0,0.586,1st of 6,0.0,Lost WS,727,573,3347845.0,30.5,28.7,1st
1977,162,98,64,0,0.605,1st of 6,0.0,Lost WS,769,582,2955087.0,29.2,28.5,1st
1976,162,92,70,0,0.568,2nd of 6,10.0,,608,543,2386301.0,27.8,28.3,2nd
1975,162,88,74,0,0.543,2nd of 6,20.0,,648,534,2539349.0,27.4,28.2,2nd
1974,162,102,60,0,0.63,1st of 6,0.0,Lost WS,798,561,2632474.0,27.1,28.9,1st
1973,162,95,66,1,0.59,2nd of 6,3.5,,675,565,2136192.0,27.0,29.9,2nd
1972,155,85,70,0,0.548,2nd of 6,10.5,,584,527,1860858.0,28.6,30.3,2nd
1971,162,89,73,0,0.549,2nd of 6,1.0,,663,587,2064594.0,28.7,28.4,2nd
1970,161,87,74,0,0.54,2nd of 6,14.5,,749,684,1697142.0,27.9,26.7,2nd
1969,162,85,77,0,0.525,4th of 6,8.0,,645,561,1784527.0,27.4,27.3,4th
1968,162,76,86,0,0.469,7th of 10,21.0,,470,509,1581093.0,27.9,26.9,7th
1967,162,73,89,0,0.451,8th of 10,28.5,,519,595,1664362.0,27.5,27.0,8th
1966,162,95,67,0,0.586,1st of 10,0.0,Lost WS,606,490,2617029.0,28.3,26.9,1st
1965,162,97,65,0,0.599,1st of 10,0.0,Won WS,608,521,2553577.0,27.9,27.6,1st
1964,164,80,82,2,0.494,6th of 10,13.0,,614,572,2228751.0,26.9,25.6,6th
1963,163,99,63,1,0.611,1st of 10,0.0,Won WS,640,550,2538602.0,27.4,26.5,1st
1962,165,102,63,0,0.618,2nd of 10,1.0,,842,697,2755184.0,27.0,25.7,2nd
1961,154,89,65,0,0.578,2nd of 8,4.0,,735,697,1804250.0,27.8,25.8,2nd
1960,154,82,72,0,0.532,4th of 8,13.0,,662,593,2253887.0,27.8,25.3,4th
1959,156,88,68,0,0.564,1st of 8,0.0,Won WS,705,670,2071045.0,28.2,25.9,1st
1958,154,71,83,0,0.461,7th of 8,21.0,,668,761,1845556.0,29.0,25.2,7th
